ADDRESS,PROPERTY MANAGEMENT COMPANY,NOTES,BARCODE #,Price/month,Area,start up date,"STATUS- (ACTIVE, CANCELLED, ON HOLD)",KEYS,TEST DAY,ANNUAL,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,,,,,
723 Field Street,Pemberton Holmes,,,$65.00,"Victoria, BC",Feb-24,ACTIVE,LF 327,TH3-R21,October,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,X,Y,,,,,
727 Fisgard Street,Colliers,"PO Required
$55/month",,$55.00,"Victoria, BC",,CANCELLED,"FI 727
K4-F1",-,February,Y,-,-,-,-,-,-,-,-,-,-,-,,,,,
728 Yates Street,Tribe Management,,,$85.00,"Victoria, BC",Jul-23,ACTIVE,TE 827,TH3-R21,November,ANNUAL,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,,,,,
730 Vancouver Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,149,TH1-R9,April,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
733 Goldstream Avenue,Starlight/Devon,,,$50.00,"Langford, BC",Jan-23,ACTIVE,326,TU1-R5,April,X,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
734 - 736 Broughton Street,Richmond Property Group,,,$60.00,"Victoria, BC",Jul-14,ACTIVE,"BL 437
K1",TH2-R15,August,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
738 Sayward Hill,Firm Management,,,$55.00,"Saanich, BC",Jan-21,ACTIVE,SH 837,TU2-R12,April,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
747 Fort Street,Associated Building Credits Ltd. c/o Breakwater Realty Inc.,,,$65.00,"Victoria, BC",Nov-23,ACTIVE,RF 747,TH2-R15,January,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
750 Pemberton Road,750 Pemberton Developments Ltd.,,,$55.00,"Victoria, BC",Sep-15,ACTIVE,"CP 057
K1",M1-R1,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
755 Market Street,TPM $45,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,398,TU3-R19,May,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
760 Johnson Street,Tribe Management,Keys returned November 2025,,$60.00,"Victoria, BC",Feb-24,CANCELLED,ND 067,-,October,Y,Y,Y,Y,Y,Y,Y,Y,-,-,-,-,,,,,
7611 Central Saanich Road,Victoria Native Friendship Centre,,,$75.00,"Saanich, BC",Aug-25,ACTIVE,SC1167,TU2-R12,November,-,-,-,-,-,-,-,Y,Y,ANNUAL,Y,Y,,,,,
765 Hockley Avenue,Centurion Property Associates,Month on invoice,,$55.00,"Langford, BC",Jan-23,ACTIVE,327,TU1-R5,March,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
765 Vanalman Avenue,Bosa Properties,,,$70.00,"Victoria, BC",Sep-23,ACTIVE,LA 567,TU1-R4,July,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
770 Cormorant Street                                        ,Firm Management,,,$55.00,"Victoria, BC",,ACTIVE,"DP 077
K6-F1",TH3-R21,February,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
772 Hockley Avenue,Centurion Property Associates,Month on invoice,,$55.00,"Langford, BC",Jan-23,ACTIVE,327,TU1-R5,July,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
777 Blanshard Street,Proline,,,$55.00,"Victoria, BC",Dec-13,ACTIVE,"TS 777
K3-F1",TH2-R15,August,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
777 Cook Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,184,TH1-R9,April,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
777 Hockley Avenue,Centurion Property Associates,Month on invoice,,$55.00,"Langford, BC",Jan-23,ACTIVE,327,TU1-R5,July,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
777 Royal Oak Drive (100),Thrifty Foods,"Invoice Monthly starting Apr. 1/21 @ $275 (no TC06)  
Inv.23887 - Mar.31/21 @ $55 + TC06",,$275.00,"Saanich, BC",Mar-21,ACTIVE,No Key,M3-R17,February,Y,ANNUAL,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,,,,,
778 Hockley Avenue,Centurion Property Associates,Month on invoice,,$55.00,"Langford, BC",Jan-23,ACTIVE,327,TU1-R5,July,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
780 Kings Road,Chek TV,,,$55.00,"Victoria, BC",Mar-23,ACTIVE,CN 087,M2-R11,January,X,Y,Y,X,X,Y,Y,Y,Y,Y,Y,Y,,,,,
784 Hockley Avenue,Centurion Property Associates,Month on invoice,,$55.00,"Langford, BC",Jan-23,ACTIVE,327,TU1-R5,August,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
7840 Lochside Drive,Starlight/Devon,,,$50.00,"Saanich, BC",,ACTIVE,CH 0487,TU2-R12,October,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
7860 Wallace Drive,Thrifty Foods,"Invoice Monthly starting Apr. 1/21 @ $275 (no TC06)  
Inv.23887 - Mar.31/21 @ $65 + TC07.  Was TH4",,$275.00,"Saanichton, BC",Dec-20,ACTIVE,No Key,M3-R17,May,Y,Y,Y,X,ANNUAL,Y,Y,Y,Y,X,Y,X,,,,,
7878 E. Saanich Road,Devon Properties,,,$50.00,"Saanichton, BC",Jan-23,ACTIVE,421,TU2-R12,December,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
790 Hockley Avenue,Centurion Property Associates,Month on invoice,,$50.00,"Langford, BC",Jan-23,ACTIVE,327,TU1-R5,July,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,,,,,
8 Bastion Square,Servissio ,$55/month. ,,$55.00,"Victoria, BC",Nov-15,ACTIVE,"Y 8
K10",TH2-R15,October,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
800 Johnson Street                                       ,357689 BC LTD.,,,$55.00,"Victoria, BC",,ACTIVE,"TH 008
K1",TH1-R8,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
803 Esquimalt Road,Capital West,,,$60.00,"Esquimalt, BC",Jun-23,ACTIVE,DC 308,W1-R7,May,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,X,,,,,
805 Academy Close,TPM ,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,399,TU3-R18,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
810 Blanshard Street,Colliers,"NO PO Required
$55/month",,$55.00,"Victoria, BC",May-18,ACTIVE,"N 018
K1",TH2-R15,July,Y,X,X,Y,X,X,ANNUAL,X,Y,Y,Y,Y,,,,,
815 Queens Avenue,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,337,M1-R3,January,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
818 Broughton Street,Hardal Management,Cancelled December 2025,,$65.00,"Victoria, BC",Nov-23,CANCELLED,TO 818,-,June,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,X,X,-,,,,,
818 Fort Street,818 Fort Holdings c/o Servissio Property Services Ltd.,,,$55.00,"Victoria, BC",Sep-20,ACTIVE,No Key,TH2-R15,April,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
821 Hockley Avenue,Centurion Properties,Month on invoice,,$55.00,"Langford, BC",Jan-23,ACTIVE,353,TU1-R5,September,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
825 Cook Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,51,TH1-R9,July,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
829 Fisgard Street,Pacifica Housing,,,$65.00,"Victoria, BC",Aug-24,ACTIVE,F 928,M1-R3,October,Y,Y,Y,Y,X,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
830 Pembroke Street,Devon Properties 45,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,154,M1-R3,March,X,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
831 Dunsmuir Road,Belmont Properties,"
Months on invoice",,$60.00,"Esquimalt, BC",Oct-25,ACTIVE,DN 138,W1-R7,April,-,-,-,-,-,-,-,-,-,Y,Y,X,,,,,
831 Fisgard Street,1134819 BC LTD.,,,$55.00,"Victoria, BC",Jan-21,ACTIVE,"IM 138
K1",M1-R3,February,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
836 Yates Street,Colliers,,,$55.00,"Victoria, BC",,ACTIVE,"YC 638
K1-F1",TH1-R8,July,Y,Y,Y,Y,X,X,ANNUAL,X,X,X,X,Y,,,,,
837 Ellery Street,Devon Properties Ltd.,Dec 2025 PO - 1446795,,$65.00,"Victoria, BC",Nov-25,ACTIVE,EY738,W2-R22,March,-,-,-,-,-,-,-,-,-,-,X,Y,,,,,
838 Fort Street,Minzar Holdings Ltd,,,$55.00,"Victoria, BC",May-19,ACTIVE,"E 838
K2-F1",M1-R2,January,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
840 Fort Street,Servisso Property Service ,,,$50.00,"Victoria, BC",,ACTIVE,414,TH2-R15,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
840 Humboldt Street,Devon Properties,Apr/24: ownership changed. On hold until we hear back- put cancelled per not hearing anything back - September 2025,,$50.00,"Victoria, BC",Jan-23,CANCELLED,122,-,July,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
843 Craigflower Road,Belmont Properties,"
Months on invoice",,$55.00,"Esquimalt, BC",Apr-23,ACTIVE,450,W2-R22,October,Y,X,Y,Y,Y,Y,Y,Y,ANNUAL,Y,X,Y,,,,,
844 Courtney Street,Richmond Property Group,,,$55.00,"Victoria, BC",Oct-18,ACTIVE,"V 448
K1-F1",TH2-R15,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
845 Yates Street,Firm Management,Cancelled October 2025 ,,$55.00,"Victoria, BC",,CANCELLED,"TW 548
K1-F1",-,March,Y,Y,Y,Y,X,X,X,Y,X,-,-,-,,,,,
847 Fisgard Street,Kuta Realty Consultants Ltd.,First 3 months are $65 - change to $75 after that,,$65.00,"Victoria, BC",Aug-25,ACTIVE,No keys,TH3-R21,January,-,-,-,-,-,-,-,Y,Y,Y,Y,Y,,,,,
850 Cook Street,Newport C. Selenz,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,11,TH1-R9,September,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
853 Burdett Avenue,TPM ,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,397,TH2-R15,June,X,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
855 Ellery Street,Devon Properties,,,$50.00,"Esquimalt, BC",Jan-23,ACTIVE,144,W2-R22,August,Y,X,Y,Y,Y,Y,Y,ANNUAL,Y,Y,X,Y,,,,,
866 Craigflower Road,Belmont Properties,Months on invoice,,$55.00,"Esquimalt, BC",Apr-23,ACTIVE,449,W2-R22,March,Y,X,Y,Y,ANNUAL,Y,Y,Y,Y,Y,X,Y,,,,, 
875 North Park Street,North Park Manor Society  ,,,$125.00,"Victoria, BC",Mar-25,ACTIVE,KP 578,M1-R3,September,X,X,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
877 Goldstream Avenue,Richmond Property Group,$65/month (A),,$65.00,"Langford, BC",Jun-20,CANCELLED,"LT 778
K2",-,May,Y,Y,Y,-,-,-,-,-,-,-,-,-,,,,,
879 Esquimalt Road,Brown Bros.,,,$50.00,"Esquimalt, BC",,ACTIVE,430,W1-R7,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,X,,,,,
880 McKenzie Avenue,St. Andrew's Regional High School,,,$65.00,"Victoria, BC",Oct-23,ACTIVE,,TU3-R19,August,X,X,Y,Y,Y,X,X,ANNUAL,Y,Y,Y,X,,,,,
890 Academy Close,Breakwater Realty,"PO Required
$55/month",,$55.00,"Victoria, BC",,ACTIVE,"S 098
K2",TU3-R18,January,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
894 Vernon Avenue,Firm Management,,,$60.00,"Victoria, BC",Apr-23,ACTIVE,CG 498,TU3-R19,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
895 Fort Street,Pacific Arbour,,,$65.00,"Victoria, BC",,ACTIVE,71,M1-R2,  ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
898 Vernon Avneue,Firm Management,,,$60.00,"Victoria, BC",Apr-23,ACTIVE,CG 498,TU3-R19,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
899 Darwin Avenue,Firm Management,,,$60.00,"Victoria, BC",Apr-23,ACTIVE,CG 498,TU3-R19,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
903 Esquimalt Road,Proline Management,,,$55.00,"Esquimalt, BC",Mar-23,ACTIVE,457,W1-R7,August,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,X,,,,,
906 Southgate Street,South Island Property Mgmt (was Strata Plan Vis 742,,,$55.00,"Victoria, BC",Jul-13,ACTIVE,"HT 609
K2",TU3-R18,January,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
908 Market Street,Starlight Properties c/o Devon Properties,NEW Jan/24,,$60.00,"Victoria, BC",Jan,ACTIVE,MS 809,M1-R1,September,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
908 Pandora Avenue,Colliers,"Annual in Dec/23, Service starts Jan/24",,$65.00,"Victoria, BC",Jan-24,ACTIVE,PD 809,TH2-R15,December,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
909 Fairfield Road,Red Cross,,,$55.00,"Victoria, BC",Feb-16,ACTIVE,KEY AT SITE,TU3-R18,September,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
909 Pendergast Street,Devon Properties,Moved to R2 in August 2025 (was R18),,$65.00,"Victoria, BC",Oct-23,ACTIVE,GT 909,M1-R2,September,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
911 Yates Street & 990 View Street,Colliers,"NO PO Required
$55/month",,$55.00,"Victoria, BC",,ACTIVE,"HG 099
K7",TH1-R8,September,Y,Y,Y,Y,X,X,X,X,ANNUAL,X,X,Y,,,,,
912 Selkirk Avenue,Century 21 Queenswood Realty Ltd.,,,$75.00,"Victoria, BC",Jun-25,ACTIVE,KK 219,W2-R22,December,-,-,-,-,-,Y,Y,Y,Y,Y,X,ANNUAL,,,,,
914 Yates Street,Colliers,"PO Required
$55/month",,$55.00,"Victoria, BC",,ACTIVE,"PG 419
K2",TH1-R8,September,Y,Y,Y,Y,X,X,X,X,X,ANNUAL,X,Y,,,,,
915 Cook Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,185,TH1-R9,April,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
919 Fort Street,Newport,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,131,TH1-R8,June,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
919 Market Street,Pemberton Residential,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,376,TU3-R19,September,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
920 Hillside Avenue,Tetcum Property,,,$50.00,"Victoria, BC",Apr-23,ACTIVE,"385 
(K2)",TU3-R19,October,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,,,,,
925 Esquimalt Road,Belmont Properties,Months on invoice,,$55.00,"Esquimalt, BC",Apr-23,ACTIVE,451,W1-R7,March,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,X,,,,,
931 Foul Bay Road,Abbeyfield Legacy Society,,,$55.00,"Victoria, BC",Aug-21,ACTIVE,"AA 139
K1",TU2-R13,March,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
938 Dunford Ave,Tribe Management,,,$65.00,"Langford, BC",Jan-22,ACTIVE,"TD 839
K3",TU1-R5,November,Y,X,X,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
942 Preston Way,Pemberton Holmes - Residential,,,$65.00,"Langford, BC",Jan-20,ACTIVE,"RL 249
K3",TU1-R5,April,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
945 Reunion Avenue ,Killam Apartments REIT,Shares panel with & 955 Reunion Avenue ($50 per builidng) - Change to R17 in August 2025 (previously R5),,$100.00,"Langford, BC",,ACTIVE,459,M3-R17,February,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
950 Rockland Avenue,Pacific Cove Property Management Ltd as Agent,,,$55.00,"Victoria, BC",Feb-17,ACTIVE,"VT 059
K2",TH1-R8,March,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
955 Cook Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,50,TH1-R9,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
964 Heywood Avenue,Devon Properties,,,$65.00,"Victoria, BC",Oct-23,ACTIVE,WD 469,TU3-R18,February,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
971 Finlayson Street,Pacific Quorum,,,$55.00,"Victoria, BC",Jan-15,ACTIVE,FG 179,TU3-R19,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
9710 2nd Street,Pemberton Holmes ,,,$50.00,"Sidney, BC",Jan-23,ACTIVE,374,F2-R16,November,Y,Y,Y,Y,Y,Y,X,X,X,Y,ANNUAL,Y,,,,,
9762 Third Street,Devon Properties,,,$65.00,"Sidney, BC",Nov-23,ACTIVE,HD 2679,F2-R16,October,Y,Y,Y,Y,Y,Y,Y,Y,X,ANNUAL,Y,Y,,,,,
9810 Seventh Street,Thrifty Foods,"Invoice Monthly starting Apr. 1/21 @ $275 (no TC06)  
Inv.23888 - Mar.31/21 @ $65 + TC07.   ",,$275.00,"Sidney, BC",Aug-20,ACTIVE,No Key,M3-R17,November,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,ANNUAL,X,,,,,
9810 Seventh Street,Colliers - Mall,"PO Required
$65/month",,$65.00,"Sidney, BC",Jun-21,ACTIVE,MM 0189,F1-R10,September,X,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,,,,,
9824-9830 Fourth Street,RealHomes Management Corp.,$65/month (A),,$65.00,"Sidney, BC",Nov-19,ACTIVE,TA 0389,F1-R10,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
9830 Second Street,Firm Management,,,$50.00,"Sidney, BC",Jan-23,ACTIVE,355,F1-R10,March,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
9836 Second Street,Devon Properties,,,$50.00,"Sidney, BC",Mar-23,ACTIVE,444,F1-R10,July,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
984 Mckenzie Avenue,Starlight/Devon,,,$55.00,"Saanich, BC",Sep-24,ACTIVE,ZM 489,W1-R6,January,Y,Y,Y,Y,Y,X,X,Y,Y,Y,Y,Y,,,,,
9843 Second Street,Devon Properties,"Devon took over July 2025
$65/Month",,$65.00,"Sidney, BC",Sep-23,ACTIVE,SC 3489,F1-R10,February,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
9851 Seaport Place,"Shops at the Port of Sidney
C/O The Marker Group","PO Required
$65/month",,$65.00,"Sidney, BC",Feb-21,ACTIVE,SEA 1598,F1-R10,April,Y,Y,Y,ANNUAL,X,Y,Y,Y,Y,Y,Y,Y,,,,,
9851 Second Street,Firm Management,,,$50.00,"Sidney, BC",,ACTIVE,415,F1-R10,December,X,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
9858 Fifth Street,Wexford Condominiums ,Credit from QB $157.50. Apply to Q4 2025,,$50.00,"Sidney, BC",Jan-23,ACTIVE,360,F1-R10,April,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
9861 Fifth Street,Brown Bros.,,,$50.00,"Sidney, BC",Jan-23,ACTIVE,354,F1-R10,August,Y,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,,,,,
9861 Third Street,Colyvan Pacific,"Effective 02/28/25, Associa no longer manage location",,$55.00,"Sidney, BC",,ACTIVE,441,F1-R10,March,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
9870 Second Street,Gibraltar,,,$50.00,"Sidney, BC",,ACTIVE,389,F1-R10,December,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,,,,,
9871 Second Street,Harbour Front,,,$50.00,"Sidney, BC",Jan-23,ACTIVE,357,F1-R10,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
9880 Fourth Street,Sutton,,,$55.00,"Sidney, BC",Jan-23,ACTIVE,380,F1-R10,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
9891 Seaport Place,"Shops at the Port of Sidney
C/O The Marker Group","PO Required
$65/month",,$65.00,"Sidney, BC",Jun-22,ACTIVE,No Key,F1-R10,February,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
990 Fort Street,Devon Properties,,,$50.00,"Victoria, BC",Jan-23,ACTIVE,159,TH1-R8,June,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
9900 Fifth Street,Edgeware Place,,,$50.00,"Sidney, BC",Jan-23,ACTIVE,369,F1-R10,November,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,ANNUAL,Y,,,,,
9905 Fifth Street,Pemberton Holmes,Starting Jan/24,,$60.00,"Sidney, BC",Jan-24,ACTIVE,FS 5099,F1-R10,May,Y,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
9911 McDonald Park,Sherringham Industries ,,,$70.00,"Sidney, BC",Jun-23,ACTIVE,,M3-R17,March,Y,Y,Y,ANNUAL,X,Y,Y,Y,Y,Y,Y,X,,,,,
9919 Fourth Street,Colyvan Pacific,,,$70.00,"Sidney, BC",Jul-23,ACTIVE,FT 9199,F1-R10,February,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
9924 Third Street,Beacon Community Services,$65/month (A),,$65.00,"Sidney, BC",Jan-20,ACTIVE,IO 4299,F1-R10,February,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
9950 4th Street,Freelance Strata Management ,,,$50.00,"Sidney, BC",Jan-23,ACTIVE,350,F1-R10,May,Y,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,,,,,
9960 4th Street,Freelance Strata Management ,,,$50.00,"Sidney, BC",Jan-23,ACTIVE,375,F1-R10,May,Y,X,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,,,,,
9960 Third Street,Highstreet Fourth Street (2023) LP,,,$50.00,"Sidney, BC",Jan-23,CANCELLED,No Key,-,January,Y,-,-,-,-,-,-,-,-,-,-,-,,,,,
9972 Third Street,Highstreet Fourth Street (2023) LP,Cancelled in November 2025,,$50.00,"Sidney, BC",Jan-23,CANCELLED,No Key,-,January,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,,,,,
9975 Fifth Street,Strata Corporation VIS 2278,,,$55.00,"Sidney, BC",,ON HOLD,-,-,October,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
9993 Fourth Street,Complete Residential,,,$50.00,"Sidney, BC",,ACTIVE,417,F1-R10,April,Y,Y,Y,ANNUAL,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
647 Goldstream Avenue,Brown Brothers Property Management,,,$75.00,"Langford, BC",Dec-25,WAITING KEYS,-,TU1-R5,-,-,-,-,-,-,-,-,-,-,-,-,Y,,,,,
646 Fairway Avenue,Brown Brothers Property Management,,,$65.00,"Langford, BC",Dec-25,WAITING KEYS,-,TU1-R5,-,-,-,-,-,-,-,-,-,-,-,-,Y,,,,,
3960-3962 Borden Street,Borden House Corporation,,,$75.00,"Victoria, BC",Dec-25,ACTIVE,No keys,TU1-R4,July,-,-,-,-,-,-,-,-,-,-,-,Y,,,,,
1205 Rudlin Street,Starlight Properties c/o Devon Properties Ltd.,,,$65.00,"Victoria, BC",Dec-25,ACTIVE,DR 5021,M1-R1,January,-,-,-,-,-,-,-,-,-,-,-,Y,,,,,
1035 North Park / 1720 Cook Street,First Service Residential,,,$75.00,"Victoria, BC",Dec-25,ACTIVE,TH 5301,M1-R3,June,-,-,-,-,-,-,-,-,-,-,-,Y,,,,,
1701 Cedar Hill X Road,First Service Residential,,,$75.00,"Victoria, BC",Jan-26,WAITING KEYS,-,,December,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
252 Gorge Road E,First Service Residential,,,$75.00,"Victoria, BC",Jan-26,WAITING KEYS,-,,November,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
254 Gorge Road E,First Service Residential,,,$75.00,"Victoria, BC",Jan-26,WAITING KEYS,-,,November,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
258 Gorge Road E,First Service Residential,,,$75.00,"Victoria, BC",Jan-26,WAITING KEYS,-,,November,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
2533 Dowler Place,First Service Residential,,,$75.00,"Victoria, BC",Dec-25,ACTIVE,LW 3352,M1-R3,April,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
3205 Wetherby Road,First Service Residential,PO #1460878,,$75.00,"Victoria, BC",Jan-26,WAITING KEYS,-,,June,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
3215 Wetherby Road,First Service Residential,PO #1460878,,$75.00,"Victoria, BC",Jan-26,WAITING KEYS,-,,June,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
3255 Cook Street,First Service Residential,,,$75.00,"Victoria, BC",Jan-26,WAITING KEYS,-,W1-R6,June,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
3868 Shelbourne Street,First Service Residential,,,$75.00,"Victoria, BC",Jan-26,WAITING KEYS,-,TH2-R23,June,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
